City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Castro,BR,75.74,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
1,Rikitea,PF,75.11,few clouds,-23.1203,-134.9692,People ThankYou
6,Kapaa,US,79.12,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
8,Praia Da Vitoria,PT,79.75,light rain,38.7333,-27.0667,Hotel Branco I
9,Hasaki,JP,79.29,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
12,Vaini,TO,71.76,scattered clouds,-21.2,-175.2,Keleti Beach Resort
14,Bethel,US,86.49,heavy intensity rain,41.3712,-73.414,Courtyard by Marriott Danbury
15,Sabang,ID,79.72,overcast clouds,5.8933,95.3214,Hotel Citra
17,Vanimo,PG,77.14,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
18,Puerto Ayora,EC,78.76,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
19,Franklin,US,84.58,overcast clouds,39.9667,-83.0166,Courtyard by Marriott Columbus Downtown
20,Batala,IN,83.98,overcast clouds,31.8186,75.2028,Hotel Metro'z Bal'z- Beer Bar/ Top/Best Bar in Batala/Best Hotel in Batala
22,Tautira,PF,76.39,moderate rain,-17.7333,-149.15,Pension Oaoa
23,Ciudad Bolivar,VE,78.39,overcast clouds,8.1222,-63.5497,Hotel Edi
25,Hilo,US,76.62,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
30,Ribeira Grande,PT,77.4,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
31,Asau,RO,78.28,scattered clouds,46.4333,26.4,Casa Mika Ciobanus
37,Cabo San Lucas,MX,88.61,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
38,Caravelas,BR,77.68,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
41,Batabano,CU,88.41,broken clouds,22.7164,-82.2881,
44,Nikolskoye,RU,71.49,overcast clouds,59.7035,30.7861,Tourist House - Sablino
49,Acarau,BR,87.69,light rain,-2.8856,-40.12,castelo pizzaria
50,Marsh Harbour,BS,83.82,broken clouds,26.5412,-77.0636,Abaco Beach Resort
51,Halifax,CA,83.52,broken clouds,44.6453,-63.5724,Hotel Halifax
52,Georgetown,MY,80.89,light rain,5.4112,100.3354,Cititel Penang
54,Auki,SB,76.75,few clouds,-8.7676,160.7034,Auki Motel
57,Victoria,HK,88.32,few clouds,22.2855,114.1577,Mini Central
62,Albany,US,82.27,overcast clouds,42.6001,-73.9662,
63,Akcakoca,TR,72.72,broken clouds,41.0866,31.1162,Turkuaz Beach Otel
68,Angoche,MZ,73.15,clear sky,-16.2325,39.9086,Guest House HESADA
70,Casas Grandes,MX,79.43,overcast clouds,30.3667,-107.95,Pueblo del Soul B&B
72,Mani,CO,81.34,overcast clouds,4.8172,-72.2886,Hotel Belgrado
76,Shache,CN,86.72,clear sky,38.4167,77.2406,Delong Hotel
77,Dzerzhinsk,RU,73.22,light rain,56.2389,43.4631,Hotel Druzhba
79,Butaritari,KI,81.82,light rain,3.0707,172.7902,Isles Sunset Lodge
83,Arraial Do Cabo,BR,82.36,clear sky,-22.9661,-42.0278,Pousada Porto Praia
87,Jamestown,US,76.51,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
89,Talara,PE,75.96,clear sky,-4.5772,-81.2719,Hostal Oro Negro
93,Thinadhoo,MV,82.63,overcast clouds,0.5333,72.9333,
96,Oda,JP,75.13,clear sky,35.1833,132.5,Sky Hotel Oda
