City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Castro,BR,2022-07-25 17:14:11,-24.7911,-50.0119,75.74,40,67,2.62,broken clouds
1,Rikitea,PF,2022-07-25 17:14:12,-23.1203,-134.9692,75.11,72,16,19.89,few clouds
2,Pacific Grove,US,2022-07-25 17:14:06,36.6177,-121.9166,60.03,91,100,3.0,overcast clouds
3,Tilichiki,RU,2022-07-25 17:14:12,60.4667,166.1,47.34,85,60,3.49,broken clouds
4,Russell,US,2022-07-25 17:14:12,32.3502,-85.1999,91.96,70,75,0.0,broken clouds
5,New Norfolk,AU,2022-07-25 17:14:13,-42.7826,147.0587,54.9,87,100,1.7,overcast clouds
6,Kapaa,US,2022-07-25 17:14:13,22.0752,-159.319,79.12,80,40,16.11,scattered clouds
7,Ushuaia,AR,2022-07-25 17:14:13,-54.8,-68.3,35.22,86,75,18.41,light snow
8,Praia Da Vitoria,PT,2022-07-25 17:14:14,38.7333,-27.0667,79.75,86,39,3.11,light rain
9,Hasaki,JP,2022-07-25 17:14:14,35.7333,140.8333,79.29,93,88,15.5,overcast clouds
10,Taft,IR,2022-07-25 17:14:14,31.7471,54.2088,100.35,12,20,2.3,few clouds
11,Qaanaaq,GL,2022-07-25 17:14:15,77.484,-69.3632,42.4,73,2,1.77,clear sky
12,Vaini,TO,2022-07-25 17:14:15,-21.2,-175.2,71.76,88,40,5.75,scattered clouds
13,Mataura,NZ,2022-07-25 17:14:15,-46.1927,168.8643,44.47,91,100,11.52,overcast clouds
14,Bethel,US,2022-07-25 17:14:16,41.3712,-73.414,86.49,69,100,10.36,heavy intensity rain
15,Sabang,ID,2022-07-25 17:14:16,5.8933,95.3214,79.72,80,98,12.5,overcast clouds
16,Fortuna,US,2022-07-25 17:14:16,40.5982,-124.1573,52.14,56,19,5.39,few clouds
17,Vanimo,PG,2022-07-25 17:14:17,-2.6741,141.3028,77.14,91,60,5.39,broken clouds
18,Puerto Ayora,EC,2022-07-25 17:13:06,-0.7393,-90.3518,78.76,91,88,7.0,overcast clouds
19,Franklin,US,2022-07-25 17:14:17,39.9667,-83.0166,84.58,55,100,9.22,overcast clouds
20,Batala,IN,2022-07-25 17:14:18,31.8186,75.2028,83.98,72,100,4.29,overcast clouds
