City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Saint-Philippe,-21.3585,55.7679,65.79,84,47,14.32,RE,2022-07-22 23:18:30
1,Butaritari,3.0707,172.7902,81.37,75,47,9.62,KI,2022-07-22 23:18:30
2,Kingsville,27.5159,-97.8561,95.68,53,40,16.11,US,2022-07-22 23:18:30
3,Nikolskoye,59.7035,30.7861,67.91,79,16,5.64,RU,2022-07-22 23:18:31
4,Oktyabrskoye,43.0645,44.7417,62.74,93,100,2.24,RU,2022-07-22 23:18:31
5,Tuktoyaktuk,69.4541,-133.0374,69.8,73,75,8.05,CA,2022-07-22 23:18:31
6,Port Alfred,-33.5906,26.891,62.31,67,100,10.89,ZA,2022-07-22 23:18:32
7,Bluff,-46.6,168.3333,37.8,81,8,6.33,NZ,2022-07-22 23:18:32
8,Zeya,53.75,127.2667,72.73,62,7,0.78,RU,2022-07-22 23:18:32
9,Mar Del Plata,-38.0023,-57.5575,48.87,89,68,2.3,AR,2022-07-22 23:18:33
10,Vaini,-21.2,-175.2,73.56,94,75,6.91,TO,2022-07-22 23:13:53
11,Cape Town,-33.9258,18.4232,55.89,92,75,5.75,ZA,2022-07-22 23:18:16
12,Castro,-24.7911,-50.0119,59.0,71,81,2.19,BR,2022-07-22 23:18:33
13,Chokurdakh,70.6333,147.9167,52.86,49,99,13.67,RU,2022-07-22 23:18:34
14,Busselton,-33.65,115.3333,59.47,80,73,20.87,AU,2022-07-22 23:18:34
15,Treinta Y Tres,-33.2333,-54.3833,56.71,97,100,5.66,UY,2022-07-22 23:18:34
16,Puerto Ayora,-0.7393,-90.3518,70.56,88,38,7.0,EC,2022-07-22 23:18:35
17,Saint-Joseph,-21.3667,55.6167,64.78,81,21,12.91,RE,2022-07-22 23:18:35
18,Port Hardy,50.6996,-127.4199,60.98,82,75,10.36,CA,2022-07-22 23:18:35
19,Mahon,39.8885,4.2658,77.56,94,0,5.75,ES,2022-07-22 23:15:06
20,Witbank,-25.8713,29.2332,52.5,72,98,11.56,ZA,2022-07-22 23:18:36
21,Hermanus,-34.4187,19.2345,53.8,83,100,12.97,ZA,2022-07-22 23:18:36
22,Kaitangata,-46.2817,169.8464,40.3,86,13,2.84,NZ,2022-07-22 23:18:36
23,Buin,-33.7333,-70.75,62.2,63,0,2.01,CL,2022-07-22 23:18:37
24,Saskylakh,71.9167,114.0833,53.08,59,92,7.65,RU,2022-07-22 23:18:37
25,Rikitea,-23.1203,-134.9692,72.09,75,100,9.84,PF,2022-07-22 23:18:38
26,Karasburg,-28.0167,18.75,61.32,32,89,7.36,NA,2022-07-22 23:18:38
27,Yantal,56.8471,105.2542,61.27,94,100,2.98,RU,2022-07-22 23:18:38
28,Namatanai,-3.6667,152.4333,83.17,64,10,6.71,PG,2022-07-22 23:18:39
29,Lichinga,-13.3128,35.2406,57.29,77,0,10.36,MZ,2022-07-22 23:18:39
30,Thompson,55.7435,-97.8558,59.16,77,100,2.3,CA,2022-07-22 23:17:19
31,Kutum,14.2,24.6667,80.29,41,7,8.79,SD,2022-07-22 23:18:40
32,Alta Floresta,-9.8756,-56.0861,78.57,34,2,2.13,BR,2022-07-22 23:18:40
33,Mananara,-16.1667,49.7667,64.96,94,48,3.94,MG,2022-07-22 23:18:40
34,Luderitz,-26.6481,15.1594,58.12,68,49,15.12,NA,2022-07-22 23:18:41
35,Kondinskoye,59.6481,67.41,48.34,71,44,7.09,RU,2022-07-22 23:18:41
36,Chenzhou,25.8,113.0333,79.56,86,0,3.71,CN,2022-07-22 23:18:41
37,New Norfolk,-42.7826,147.0587,51.93,84,100,2.35,AU,2022-07-22 23:18:42
38,Fengzhen,40.4394,113.1536,63.03,60,0,2.68,CN,2022-07-22 23:18:42
39,Basoko,1.2391,23.616,71.71,92,100,4.76,CD,2022-07-22 23:18:42
40,Coos Bay,43.3665,-124.2179,74.32,79,0,20.71,US,2022-07-22 23:18:25
41,Dunedin,-45.8742,170.5036,43.92,81,12,5.32,NZ,2022-07-22 23:18:43
42,Yumen,40.2833,97.2,74.17,16,0,9.95,CN,2022-07-22 23:18:43
43,Talnakh,69.4865,88.3972,67.21,52,50,3.87,RU,2022-07-22 23:18:44
44,Kapaa,22.0752,-159.319,84.52,66,20,14.97,US,2022-07-22 23:18:44
45,Constitucion,-35.3333,-72.4167,53.67,93,30,8.16,CL,2022-07-22 23:15:57
46,Salalah,17.0151,54.0924,77.09,94,100,5.75,OM,2022-07-22 23:18:44
47,Vaitape,-16.5167,-151.75,78.19,73,20,9.53,PF,2022-07-22 23:19:45
48,Grand Gaube,-20.0064,57.6608,68.4,81,1,1.99,MU,2022-07-22 23:19:45
49,Husavik,66.0449,-17.3389,48.25,90,28,4.32,IS,2022-07-22 23:19:45
50,Bodden Town,19.2833,-81.25,89.6,69,20,11.5,KY,2022-07-22 23:19:46
51,Port Elizabeth,-33.918,25.5701,58.32,84,0,8.05,ZA,2022-07-22 23:19:46
52,Barrow,71.2906,-156.7887,41.02,87,100,11.5,US,2022-07-22 23:19:47
53,Banda Aceh,5.5577,95.3222,78.89,80,100,3.78,ID,2022-07-22 23:19:47
54,Leua,48.2156,18.6071,78.49,48,0,5.41,SK,2022-07-22 23:19:47
55,Hami,42.8,93.45,79.09,19,0,3.83,CN,2022-07-22 23:19:47
56,Ostrovnoy,68.0531,39.5131,51.78,89,98,16.82,RU,2022-07-22 23:19:48
57,Punta Arenas,-53.15,-70.9167,35.71,75,0,13.8,CL,2022-07-22 23:19:48
58,Pevek,69.7008,170.3133,32.92,89,98,5.7,RU,2022-07-22 23:19:49
59,Pangnirtung,66.1451,-65.7125,54.72,56,9,3.0,CA,2022-07-22 23:19:49
60,Torbay,47.6666,-52.7314,72.88,70,75,9.22,CA,2022-07-22 23:19:50
